"rank_change","symbol","rank","padj","gene"
14643,"RPSAP47",4643,0.00401427431924807,"ENSG00000188856"
-1337,"HMGN2P28",4644,0.00401508233740716,"ENSG00000236086"
2756,"MSRB3",4645,0.004018782595978,"ENSG00000174099"
3669,"STX5",4646,0.0040278153537591,"ENSG00000162236"
2435,"PADI6",4647,0.00402845035362184,"ENSG00000276747"
927,"CDC7",4648,0.00402853840784249,"ENSG00000097046"
757,"KCTD9P5",4649,0.00404567931259341,"ENSG00000248216"
-1777,"AC099811.5",4650,0.00405428018596822,"ENSG00000278829"
2743,"CAPN5",4651,0.00405753837465591,"ENSG00000149260"
2476,"SPRYD4",4652,0.00405958897589294,"ENSG00000176422"
1330,"ATP5F1D",4653,0.00406858017230314,"ENSG00000099624"
685,"F8A1",4654,0.00406858017230314,"ENSG00000277203"
3210,"GIPR",4655,0.00406925743118488,"ENSG00000010310"
2014,"DFFA",4656,0.00406925743118488,"ENSG00000160049"
87,"AL353804.1",4657,0.00406925743118488,"ENSG00000228906"
4534,"IFITM3P6",4658,0.00406925743118488,"ENSG00000258352"
514,"DNAAF2",4659,0.00407444384737429,"ENSG00000165506"
1751,"PIN1",4660,0.00407570694606472,"ENSG00000127445"
1920,"TIAF1",4661,0.00408062393798476,"ENSG00000221995"
1159,"TMEM81",4662,0.0040813506633705,"ENSG00000174529"
9004,"MAPK4",4663,0.00408698912052516,"ENSG00000141639"
3550,"KIF4A",4664,0.00408957912325555,"ENSG00000090889"
-1080,"NDUFB5P2",4665,0.00409155534411886,"ENSG00000214628"
3231,"AL807757.2",4666,0.00410102889973172,"ENSG00000236095"
1787,"TRAV8-3",4667,0.00410387478077527,"ENSG00000211787"
-584,"AC104446.2",4668,0.00411915461466897,"ENSG00000275956"
16575,"NMRK2",4669,0.00411936458550236,"ENSG00000077009"
5101,"NUDT14",4670,0.00411936458550236,"ENSG00000183828"
3792,"AC009495.3",4671,0.00411936458550236,"ENSG00000235192"
-710,"ZNF506",4672,0.00412403673938402,"ENSG00000081665"
-640,"CLIP1-AS1",4673,0.0041250279038892,"ENSG00000257097"
2099,"XCL2",4674,0.00413246005484952,"ENSG00000143185"
525,"GLRX5",4675,0.00413246005484952,"ENSG00000182512"
-282,"SRRM2-AS1",4676,0.00413246005484952,"ENSG00000205913"
608,"LUC7L3",4677,0.00413338620470941,"ENSG00000108848"
-1400,"AC073592.5",4678,0.00413566601760397,"ENSG00000279121"
3693,"GRIK4",4679,0.00414549613766794,"ENSG00000149403"
-1198,"NANOGP4",4680,0.00414549613766794,"ENSG00000237065"
18704,"PKMP1",4681,0.00414554275091379,"ENSG00000236480"
4048,"CLDN1",4682,0.00414737058450931,"ENSG00000163347"
2742,"PRKCD",4683,0.00414817172915831,"ENSG00000163932"
-3554,"TMEM86B",4684,0.00415183156334951,"ENSG00000180089"
1012,"TBCCD1",4685,0.00416114261833225,"ENSG00000113838"
-796,"KCNV2",4686,0.00416114261833225,"ENSG00000168263"
530,"UHRF1",4687,0.00416367908074238,"ENSG00000276043"
2883,"RHOB",4688,0.00416555646665666,"ENSG00000143878"
16630,"FKBP1C",4689,0.00416929093874691,"ENSG00000198225"
-710,"AC008700.1",4690,0.00416954000992572,"ENSG00000248125"
13085,"MED17",4691,0.00417276864308042,"ENSG00000042429"
2101,"FLRT1",4692,0.00417276864308042,"ENSG00000126500"
1581,"ZG16B",4693,0.00417328059179338,"ENSG00000162078"
2143,"ZNF37BP",4694,0.00417478940163378,"ENSG00000234420"
2165,"ANO10",4695,0.00417659584773498,"ENSG00000160746"
-148,"EVI2B",4696,0.00418420824808049,"ENSG00000185862"
1178,"EEF1A1P14",4697,0.0041934137661862,"ENSG00000233057"
2996,"KLRC1",4698,0.00419742806247526,"ENSG00000134545"
2214,"AP001429.1",4699,0.00419922585517604,"ENSG00000270116"
NA,"TYMP",4700,0.00420026294493994,"ENSG00000025708"
-2939,"AC053513.2",4701,0.00420026294493994,"ENSG00000256973"
2165,"SLA2",4702,0.00420647921270086,"ENSG00000101082"
3244,"ZNF567",4703,0.00421023646156272,"ENSG00000189042"
22252,"EIF4HP1",4704,0.00421023646156272,"ENSG00000233830"
4737,"OCLN",4705,0.00421524965019612,"ENSG00000197822"
NA,"AC129803.1",4706,0.0042203006935352,"ENSG00000287378"
4664,"UCHL1",4707,0.00423539477237445,"ENSG00000154277"
6944,"AC020978.9",4708,0.00423756067590313,"ENSG00000279649"
3406,"IL12RB1",4709,0.00423906178822526,"ENSG00000096996"
2750,"GBP1",4710,0.00424293787295618,"ENSG00000117228"
18695,"L1CAM",4711,0.00424408318024682,"ENSG00000198910"
3834,"EEF1AKMT3",4712,0.00424499415752037,"ENSG00000123427"
-1891,"RN7SL118P",4713,0.00424499415752037,"ENSG00000266420"
3320,"AC012313.5",4714,0.00424499415752037,"ENSG00000268912"
2187,"ADGRA2",4715,0.00425216714984783,"ENSG00000020181"
-911,"AC087521.2",4716,0.00425216714984783,"ENSG00000246250"
1635,"TMEM97",4717,0.00426181827031631,"ENSG00000109084"
NA,"AC017028.2",4718,0.00427251685478732,"ENSG00000287405"
1150,"DAZAP2",4719,0.00428389487351143,"ENSG00000183283"
NA,"AC108519.1",4720,0.00428389487351143,"ENSG00000288075"
754,"MAP4K4",4721,0.00429029375631286,"ENSG00000071054"
-1021,"EGFEM1P",4722,0.00429547815097935,"ENSG00000206120"
1075,"TNNT2",4723,0.00429916016463367,"ENSG00000118194"
2102,"IPO9",4724,0.00430493861041842,"ENSG00000198700"
2398,"CCDC6",4725,0.00430897732230802,"ENSG00000108091"
NA,"EIF1P3",4726,0.00430897732230802,"ENSG00000231684"
1861,"TOLLIP",4727,0.0043144598907341,"ENSG00000078902"
3404,"EFEMP2",4728,0.0043149770328016,"ENSG00000172638"
2619,"PANK4",4729,0.00433200857292421,"ENSG00000157881"
1847,"OBSL1",4730,0.00433416009599831,"ENSG00000124006"
-118,"UPF3B",4731,0.0043375722166275,"ENSG00000125351"
4133,"CLK3",4732,0.00434026359927334,"ENSG00000179335"
NA,"AL590385.2",4733,0.00434160523473586,"ENSG00000273112"
1138,"INVS",4734,0.00434459599757085,"ENSG00000119509"
2520,"TCAF1",4735,0.00434459599757085,"ENSG00000198420"
943,"TLE2",4736,0.00435732475464286,"ENSG00000065717"
941,"USP54",4737,0.00435899253738834,"ENSG00000166348"
157,"IRGM",4738,0.00435899253738834,"ENSG00000237693"
-4475,"LIN37",4739,0.00436005460806726,"ENSG00000267796"
514,"INSC",4740,0.00436446795421016,"ENSG00000188487"
2481,"ATP8B4",4741,0.00437199902716538,"ENSG00000104043"
1291,"ALKBH8",4742,0.00437732008735662,"ENSG00000137760"
-1138,"PCDHGC4",4743,0.00438284879851386,"ENSG00000242419"
7141,"AL157938.3",4744,0.00438460633794246,"ENSG00000246851"
1977,"TFB2M",4745,0.00438542889271054,"ENSG00000162851"
-4064,"CHD1L",4746,0.00438957899568364,"ENSG00000131778"
2471,"USP31",4747,0.00439491354346743,"ENSG00000103404"
5963,"CRELD2",4748,0.00439651383956036,"ENSG00000184164"
12785,"ACTBP1",4749,0.00440285746678449,"ENSG00000229145"
-1216,"RPL23AP11",4750,0.004403930134912,"ENSG00000230988"
-774,"AC012313.6",4751,0.00440575646775916,"ENSG00000269054"
3087,"GSTA4",4752,0.00440640890693036,"ENSG00000170899"
832,"SMKR1",4753,0.00440760666013536,"ENSG00000240204"
103,"ZNF572",4754,0.00440909299147387,"ENSG00000180938"
3767,"AL157834.1",4755,0.00441314146200563,"ENSG00000231829"
4996,"AL031736.1",4756,0.00443119576672949,"ENSG00000227777"
941,"DARS1",4757,0.00443181850316222,"ENSG00000115866"
1391,"ZNF292",4758,0.00443603399841996,"ENSG00000188994"
1166,"GALE",4759,0.00443957439768818,"ENSG00000117308"
-388,"AC020910.4",4760,0.00443957439768818,"ENSG00000271049"
1181,"AK4",4761,0.00444022361352452,"ENSG00000162433"
2083,"FAM160A2",4762,0.00444131675829215,"ENSG00000051009"
1885,"PSMD4",4763,0.00445248919836438,"ENSG00000159352"
-1065,"SLC35G6",4764,0.00445248919836438,"ENSG00000259224"
-3523,"RBM34",4765,0.00445292595148696,"ENSG00000188739"
-508,"HMGA2",4766,0.00445717863589128,"ENSG00000149948"
-2143,"CHCHD4P5",4767,0.00445717863589128,"ENSG00000225222"
12737,"AC079944.2",4768,0.00445741368573744,"ENSG00000241889"
5230,"FLNC",4769,0.00445998813578452,"ENSG00000128591"
1974,"RNF25",4770,0.00445998813578452,"ENSG00000163481"
2242,"THNSL1",4771,0.00445998813578452,"ENSG00000185875"
14264,"AC080023.2",4772,0.00445998813578452,"ENSG00000254719"
-2396,"CR391992.1",4773,0.00446701342434849,"ENSG00000229820"
-363,"AC084024.1",4774,0.00447012732105835,"ENSG00000240015"
1579,"ARHGAP12",4775,0.00447614057893235,"ENSG00000165322"
1990,"OXER1",4776,0.00447753349142771,"ENSG00000162881"
-1248,"Z98048.1",4777,0.00447832853128929,"ENSG00000230769"
-1780,"RNASET2",4778,0.00447878998731178,"ENSG00000026297"
-3064,"ST7-AS2",4779,0.00447878998731178,"ENSG00000226367"
3195,"DPP4",4780,0.00448325556883378,"ENSG00000197635"
-978,"C18orf15",4781,0.0044907994788609,"ENSG00000279020"
-163,"YIPF3",4782,0.00449247845509363,"ENSG00000137207"
1730,"AC104791.2",4783,0.0044934433528757,"ENSG00000279481"
NA,"NCKAP5-AS1",4784,0.0044978498652054,"ENSG00000233729"
1302,"ABCF3",4785,0.00450132867471692,"ENSG00000161204"
267,"AC040978.1",4786,0.00450132867471692,"ENSG00000274064"
