"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000270106",0,0,0,26,25,17,0.00692793999534658,"TSNAX-DISC1",5332,NA
"ENSG00000285967",67,70,191,946,782,990,0.00704556547925623,"NIPBL-DT",5353,NA
"ENSG00000259030",1,1,3,40,44,47,0.0072026905865938,"FPGT-TNNI3K",5373,NA
"ENSG00000287355",0,0,1,21,99,9,0.00743121672598812,"AL451123.2",5407,NA
"ENSG00000285676",8,0,2,118,138,57,0.00757620847531213,"AL158212.5",5420,NA
"ENSG00000284968",7,3,19,77,166,156,0.00759098994711106,"AC093827.4",5427,NA
"ENSG00000286190",219,97,110,87,160,29,0.00781255222263033,"AC055839.2",5469,NA
"ENSG00000286480",3,0,0,71,52,34,0.00799645268860677,"AC009501.2",5495,NA
"ENSG00000286523",0,0,1,54,9,42,0.00809686644975033,"AL022151.1",5517,NA
"ENSG00000284685",3,0,2,52,90,25,0.00813351055557729,"AC009093.10",5524,NA
"ENSG00000287809",15,0,0,237,240,344,0.0083248878407177,"AC005632.6",5570,NA
"ENSG00000222036",1,5,31,0,2,0,0.00851984464175236,"POTEM",5598,NA
"ENSG00000286311",1,1,0,88,10,49,0.00858262931454092,"AL034550.3",5609,NA
"ENSG00000286193",0,0,0,29,23,14,0.00865756330794746,"AC025449.2",5620,NA
"ENSG00000286615",1,0,0,24,53,18,0.00875046005934648,"AC011416.4",5636,NA
"ENSG00000287049",0,0,0,38,21,11,0.00893322628951216,"AC124862.1",5663,NA
"ENSG00000287422",0,2,0,17,48,75,0.00896946140955558,"AL442071.2",5671,NA
"ENSG00000285331",7,2,6,139,43,91,0.00909795295445965,"AC090517.5",5682,NA
"ENSG00000286803",0,0,0,27,41,7,0.00914404248439315,"AL109824.1",5688,NA
"ENSG00000135373",1,14,1,0,0,0,0.00919041915895338,"EHF",5700,NA
"ENSG00000285077",11,10,0,116,262,311,0.00928574207705435,"ARHGAP11B",5718,NA
"ENSG00000284930",5,29,120,3,22,0,0.00950358028758385,"AC005280.2",5761,NA
"ENSG00000287934",8,0,2,88,119,74,0.00983281590941333,"AP001885.3",5803,NA
"ENSG00000285728",24,6,10,212,214,178,0.00986455153810723,"AC098484.4",5805,NA
"ENSG00000284948",16,7,14,8,3,4,0.00987151578625521,"AC107959.4",5808,NA
