"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000253197",0,0,0,22,11,14,0.00627011773329567,"AC117834.1",7801,NA
"ENSG00000211911",0,1,0,46,5,34,0.00628334476447223,"IGHD3-22",7803,NA
"ENSG00000221331",0,0,0,13,20,13,0.00629125300533715,"MIR548Q",7806,NA
"ENSG00000260224",0,0,0,8,19,22,0.00629186507506926,"UBL5P4",7807,NA
"ENSG00000274614",0,0,0,10,14,24,0.00630426420575872,"AL390754.1",7812,NA
"ENSG00000254846",0,0,0,6,17,31,0.00631259260668645,"AL355075.1",7818,NA
"ENSG00000255084",0,0,0,6,17,31,0.00631259260668645,"AP003110.1",7819,NA
"ENSG00000219902",0,0,0,22,8,19,0.00631885654232341,"RPL35P3",7820,NA
"ENSG00000264217",0,0,0,11,17,18,0.00632036729544445,"RPL35AP23",7823,NA
"ENSG00000231564",0,0,0,12,14,20,0.00633675394859634,"EIF4A1P11",7828,NA
"ENSG00000261723",0,0,0,14,12,20,0.00633675394859634,"AC008870.4",7829,NA
"ENSG00000278413",0,0,0,14,12,20,0.00633675394859634,"AL159159.1",7830,NA
"ENSG00000226128",0,0,0,23,39,3,0.0063659758481485,"RPL26P9",7838,NA
"ENSG00000230424",0,0,2,19,20,46,0.00639693972264349,"EMC1-AS1",7845,NA
"ENSG00000236170",0,0,0,47,1,35,0.0064055901255273,"IGHD1-1",7847,NA
"ENSG00000223908",0,0,0,23,18,8,0.00641026906069432,"AC068657.1",7851,NA
"ENSG00000202259",0,0,0,16,9,23,0.00641452365551818,"RNU6-1318P",7853,NA
"ENSG00000265418",0,0,0,18,34,5,0.0064270538751924,"MIR4261",7856,NA
"ENSG00000223576",0,0,0,17,15,13,0.0064352614513973,"AL355001.1",7857,NA
"ENSG00000216813",0,0,0,15,13,17,0.006446730247652,"AL358178.1",7859,NA
"ENSG00000238285",0,0,0,13,15,17,0.00644844466761306,"MRPL50P2",7860,NA
"ENSG00000200261",0,1,0,14,35,17,0.00646462727488112,"Y_RNA",7864,NA
