"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000157657",47,14,31,3837,1652,2136,1.52949089884709e-10,"ZNF618",178,222
"ENSG00000154553",43,77,80,4,4,0,1.54375348391349e-10,"PDLIM3",179,178
"ENSG00000247903",3,2,3,387,373,726,1.60357182299933e-10,"AC024896.1",180,7842
"ENSG00000237264",53,43,126,2,7,1,1.60825976340493e-10,"FTH1P11",181,2250
"ENSG00000155189",85,69,109,2893,2710,2784,1.68584909884122e-10,"AGPAT5",182,-48
"ENSG00000215030",1140,899,549,91,154,81,1.68584909884122e-10,"RPL13P12",183,4789
"ENSG00000159173",450,111,61,1,0,0,1.69637851440937e-10,"TNNI1",184,245
"ENSG00000139832",875,733,3719,166,303,127,1.69893003293515e-10,"RAB20",185,186
"ENSG00000117298",2182,3117,14838,1026,461,316,1.71548538522183e-10,"ECE1",186,284
"ENSG00000104218",86,73,148,3320,2519,2785,1.83472519353931e-10,"CSPP1",187,-109
"ENSG00000128383",1773,2752,12762,299,64,8,1.89463564976337e-10,"APOBEC3A",188,347
"ENSG00000127955",8,10,38,943,1027,734,2.24518496215529e-10,"GNAI1",189,210
"ENSG00000186439",51,44,64,0,0,0,2.44680029414857e-10,"TRDN",190,795
"ENSG00000169583",378,473,76,22,17,10,2.46454580140899e-10,"CLIC3",191,281
"ENSG00000214688",77,81,169,30,17,11,2.51126944378411e-10,"C10orf105",192,-10
"ENSG00000158856",13792,7257,2781,690,79,217,2.76914891926915e-10,"DMTN",193,323
"ENSG00000269981",1053,543,3377,11,105,8,2.90908615895549e-10,"AL627309.7",194,679
"ENSG00000277443",2635,3064,5601,959,418,140,2.90908615895549e-10,"MARCKS",195,233
"ENSG00000140678",18049,11036,47958,3275,5655,3501,2.97631902549571e-10,"ITGAX",196,243
"ENSG00000235257",6,6,4,1037,352,482,3.03275641960524e-10,"ITGA9-AS1",197,552
"ENSG00000162390",22,9,8,3701,834,1592,3.40013039194685e-10,"ACOT11",198,454
"ENSG00000171552",6761,8085,3332,950,479,688,3.45779956824582e-10,"BCL2L1",199,141
"ENSG00000116641",43,20,80,1994,1672,1568,3.75356179869294e-10,"DOCK7",200,154
"ENSG00000177791",232,81,50,2,0,3,3.87745039231762e-10,"MYOZ1",201,320
"ENSG00000029153",3,7,18,575,666,421,3.97521613062478e-10,"ARNTL2",202,303
"ENSG00000099860",4350,1330,9579,376,281,550,4.04123405029408e-10,"GADD45B",203,181
"ENSG00000101460",262,93,333,38,41,14,4.13290463112247e-10,"MAP1LC3A",204,655
"ENSG00000242094",1,0,7,400,608,432,4.43963761121032e-10,"FOXP1-IT1",205,44
"ENSG00000128833",14,11,11,1133,745,402,4.86463772483262e-10,"MYO5C",206,45
"ENSG00000101470",471,158,72,10,11,1,5.07992923567458e-10,"TNNC2",207,1314
"ENSG00000116991",600,580,4521,85,174,100,5.37355409730113e-10,"SIPA1L2",208,326
"ENSG00000185480",9,6,8,440,529,381,5.84963230864913e-10,"PARPBP",209,281
"ENSG00000239474",44,70,126,2,2,7,5.85993212449463e-10,"KLHL41",210,-24
"ENSG00000172354",6323,7499,24120,2515,3432,1611,6.51889217567555e-10,"GNB2",211,227
"ENSG00000117984",4713,4517,15234,2470,2220,1209,6.65630897965957e-10,"CTSD",212,-137
"ENSG00000034152",5458,3777,10684,2604,2348,1552,6.81557011695485e-10,"MAP2K3",213,77
"ENSG00000286742",2,3,0,758,384,2034,6.83031175741607e-10,"AC000065.1",214,NA
"ENSG00000088882",30,9,7,3778,1261,2984,6.97867550232253e-10,"CPXM1",215,669
"ENSG00000152580",9,2,2,2755,228,7365,9.48097139927555e-10,"IGSF10",216,522
"ENSG00000185650",11182,7175,14756,2621,3353,893,9.60686418232975e-10,"ZFP36L1",217,405
"ENSG00000123689",2864,2206,1060,67,89,1,9.91910197674848e-10,"G0S2",218,267
