"rank_change","symbol","rank","padj","gene"
174,"KNTC1",202,5.25973399686307e-11,"ENSG00000184445"
250,"SHPRH",203,5.39051536660438e-11,"ENSG00000146414"
3371,"IFITM9P",204,5.39051536660438e-11,"ENSG00000213275"
201,"CEP295",205,5.89260209307703e-11,"ENSG00000166004"
124,"VNN2",206,6.15087608780128e-11,"ENSG00000112303"
346,"CAMK2N1",207,6.4288119756149e-11,"ENSG00000162545"
165,"PTGES",208,6.51102339260904e-11,"ENSG00000148344"
243,"EHD1",209,6.80213816822775e-11,"ENSG00000110047"
149,"MMS22L",210,7.19003027452051e-11,"ENSG00000146263"
175,"GABARAPL1",211,7.46071348312473e-11,"ENSG00000139112"
827,"TRIM63",212,7.54149437805081e-11,"ENSG00000158022"
294,"TOM1",213,7.77075605802087e-11,"ENSG00000100284"
186,"ZNF618",214,7.78964911549144e-11,"ENSG00000157657"
28,"FBXL19-AS1",215,7.8372828411063e-11,"ENSG00000260852"
33,"FOXP1-IT1",216,7.94511402505661e-11,"ENSG00000242094"
138,"HBB",217,8.0033085106197e-11,"ENSG00000244734"
114,"DEDD2",218,8.44963958118008e-11,"ENSG00000160570"
-98,"AC130456.3",219,9.23185494380296e-11,"ENSG00000260592"
243,"PRKD2",220,1.01390371612313e-10,"ENSG00000105287"
120,"ZBED3-AS1",221,1.16292031187084e-10,"ENSG00000250802"
170,"PTH2R",222,1.19386171779044e-10,"ENSG00000144407"
650,"AL627309.7",223,1.19448927307243e-10,"ENSG00000269981"
646,"CPE",224,1.26077409495812e-10,"ENSG00000109472"
337,"PLAGL1",225,1.27170331596208e-10,"ENSG00000118495"
-151,"CTSD",226,1.36367062006015e-10,"ENSG00000117984"
207,"CAMP",227,1.45301619030771e-10,"ENSG00000164047"
194,"NKG7",228,1.50646894464411e-10,"ENSG00000105374"
277,"SLC25A37",229,1.51986966236168e-10,"ENSG00000147454"
292,"OPLAH",230,1.61877281212328e-10,"ENSG00000178814"
192,"MGAM",231,1.61877281212328e-10,"ENSG00000257335"
206,"GNB2",232,1.62366780751586e-10,"ENSG00000172354"
223,"UBA52",233,1.65570642956421e-10,"ENSG00000221983"
212,"CYSTM1",234,1.66208093596069e-10,"ENSG00000120306"
261,"TNIP1",235,1.67700434457829e-10,"ENSG00000145901"
1968,"IFITM3P2",236,1.86881685210732e-10,"ENSG00000223722"
170,"FPR1",237,1.9049138968671e-10,"ENSG00000171051"
296,"SIPA1L2",238,1.93340278485291e-10,"ENSG00000116991"
235,"MANEA",239,2.02606899058029e-10,"ENSG00000172469"
187,"SMC2",240,2.04510202428722e-10,"ENSG00000136824"
403,"ZNF850",241,2.10770052362447e-10,"ENSG00000267041"
1437,"AL031846.1",242,2.22785066651462e-10,"ENSG00000225720"
229,"CLIC3",243,2.31404436159161e-10,"ENSG00000169583"
112,"KIR2DL1",244,2.32631751969957e-10,"ENSG00000125498"
254,"PIK3IP1",245,2.35742817235693e-10,"ENSG00000100100"
247,"AKAP9",246,2.55979300201178e-10,"ENSG00000127914"
223,"ECE1",247,2.69375574037341e-10,"ENSG00000117298"
187,"FRMD5",248,2.69375574037341e-10,"ENSG00000171877"
121,"DSCC1",249,2.71213945593246e-10,"ENSG00000136982"
130,"VAMP5",250,2.76499255357623e-10,"ENSG00000168899"
84,"ANKRD55",251,2.79782667146467e-10,"ENSG00000164512"
838,"SUV39H2",252,2.82276796022579e-10,"ENSG00000152455"
332,"EDF1",253,2.9152036731783e-10,"ENSG00000107223"
98,"GNGT2",254,2.9152036731783e-10,"ENSG00000167083"
305,"SLN",255,3.18079575447143e-10,"ENSG00000170290"
163,"ALDOC",256,3.22687714328801e-10,"ENSG00000109107"
158,"HBA2",257,3.22687714328801e-10,"ENSG00000188536"
