"padj","gene","symbol","rank","rank_change"
4.17875389777797e-13,"ENSG00000260852","FBXL19-AS1",243,-28
4.43488366234151e-13,"ENSG00000230084","AC006059.1",244,309
4.6124537317859e-13,"ENSG00000115607","IL18RAP",245,-130
4.85429845267454e-13,"ENSG00000230322","AL136320.1",246,741
5.30380209674529e-13,"ENSG00000204632","HLA-G",247,1569
5.66984518560397e-13,"ENSG00000205155","PSENEN",248,1377
5.69920629116347e-13,"ENSG00000242094","FOXP1-IT1",249,-33
6.53198356948365e-13,"ENSG00000179240","GVQW3",250,1472
7.24928807263768e-13,"ENSG00000128833","MYO5C",251,-67
7.28241391806241e-13,"ENSG00000204524","ZNF805",252,1810
7.46254950882285e-13,"ENSG00000166136","NDUFB8",253,23950
7.63799296257689e-13,"ENSG00000080603","SRCAP",254,12357
7.63799296257689e-13,"ENSG00000265681","RPL17",255,26144
7.64154096896635e-13,"ENSG00000258659","TRIM34",256,23151
7.6464264943e-13,"ENSG00000274425","AC114271.1",257,NA
8.40606196119051e-13,"ENSG00000173894","CBX2",258,-108
9.08485289187839e-13,"ENSG00000234353","AP000346.2",259,12148
9.65310207232979e-13,"ENSG00000231259","ANAPC1P2",260,NA
9.92822675077213e-13,"ENSG00000182108","DEXI",261,2493
1.05268315011683e-12,"ENSG00000215837","SDHAP2",262,NA
1.06971511339633e-12,"ENSG00000173846","PLK3",263,-122
1.0819466897661e-12,"ENSG00000267796","LIN37",264,2918
1.1652856121568e-12,"ENSG00000079393","DUSP13",265,-169
1.16847028329657e-12,"ENSG00000152463","OLAH",266,-144
1.22593503055202e-12,"ENSG00000232729","AC211433.1",267,34
1.29258781201802e-12,"ENSG00000105835","NAMPT",268,-179
1.32644512257038e-12,"ENSG00000147872","PLIN2",269,-151
1.34497122697845e-12,"ENSG00000139890","REM2",270,-138
1.43357228104331e-12,"ENSG00000125971","DYNLRB1",271,22377
1.53130097722336e-12,"ENSG00000267673","FDX2",272,NA
1.59909442195247e-12,"ENSG00000172167","MTBP",273,-101
1.60893850781249e-12,"ENSG00000280143","AP000892.4",274,NA
1.62259479336646e-12,"ENSG00000174886","NDUFA11",275,6050
1.64787299295838e-12,"ENSG00000128340","RAC2",276,-138
1.68845046119389e-12,"ENSG00000127084","FGD3",277,-151
1.8189155441697e-12,"ENSG00000109061","MYH1",278,-197
1.83334860612431e-12,"ENSG00000224083","MTCO1P11",279,3
2.02581614453854e-12,"ENSG00000103154","NECAB2",280,-183
2.20424109481621e-12,"ENSG00000268362","AC092279.1",281,72
2.24857830220509e-12,"ENSG00000196091","MYBPC1",282,-240
2.25142804703815e-12,"ENSG00000161265","U2AF1L4",283,6718
2.25142804703815e-12,"ENSG00000250903","GMDS-DT",284,115
2.25142804703815e-12,"ENSG00000253797","UTP14C",285,NA
2.48090850714965e-12,"ENSG00000124766","SOX4",286,-159
2.55579158955873e-12,"ENSG00000269858","EGLN2",287,7906
2.65187582120578e-12,"ENSG00000119969","HELLS",288,-148
2.78817072580379e-12,"ENSG00000013306","SLC25A39",289,-146
2.90965213082703e-12,"ENSG00000034152","MAP2K3",290,-165
3.01699811955968e-12,"ENSG00000258366","RTEL1",291,11077
3.20217056906291e-12,"ENSG00000241370","RPP21",292,13147
3.46947322413849e-12,"ENSG00000114854","TNNC1",293,-255
3.50459439847308e-12,"ENSG00000259807","AC009093.1",294,353
3.60150117431441e-12,"ENSG00000172216","CEBPB",295,-126
3.71277108274738e-12,"ENSG00000213658","LAT",296,12378
3.78412449428414e-12,"ENSG00000111642","CHD4",297,15276
3.78412449428414e-12,"ENSG00000178295","GEN1",298,-177
3.85552807520141e-12,"ENSG00000130165","ELOF1",299,-179
4.07213199882131e-12,"ENSG00000167397","VKORC1",300,12666
4.12485152796403e-12,"ENSG00000173641","HSPB7",301,-218
4.19882087870552e-12,"ENSG00000100985","MMP9",302,-115
4.19882087870552e-12,"ENSG00000170525","PFKFB3",303,-158
4.36768055726412e-12,"ENSG00000137331","IER3",304,271
4.36833678602912e-12,"ENSG00000070669","ASNS",305,12708
4.43656964636171e-12,"ENSG00000197753","LHFPL5",306,15115
4.44885628901558e-12,"ENSG00000172270","BSG",307,-172
4.49508201188089e-12,"ENSG00000068971","PPP2R5B",308,-202
4.62085507902596e-12,"ENSG00000185559","DLK1",309,-259
4.68499142039391e-12,"ENSG00000099949","LZTR1",310,6773
4.78696432227675e-12,"ENSG00000181722","ZBTB20",311,-52
5.11876677695988e-12,"ENSG00000218227","AC136632.1",312,NA
5.21806691260005e-12,"ENSG00000184481","FOXO4",313,-190
5.95641334642482e-12,"ENSG00000132376","INPP5K",314,-213
6.05983914423813e-12,"ENSG00000010404","IDS",315,21133
6.19770794599389e-12,"ENSG00000144792","ZNF660",316,-172
6.45381302000134e-12,"ENSG00000265142","MIR133A1HG",317,77
6.68037513265176e-12,"ENSG00000131503","ANKHD1",318,9341
6.89332895482233e-12,"ENSG00000169682","SPNS1",319,21712
7.14089292368512e-12,"ENSG00000236977","ANKRD44-IT1",320,954
7.4505178516754e-12,"ENSG00000131669","NINJ1",321,-163
7.4505178516754e-12,"ENSG00000204427","ABHD16A",322,25900
7.49887425560765e-12,"ENSG00000255455","AP003486.1",323,NA
8.22874139787506e-12,"ENSG00000265713","AC023389.2",324,-55
9.28871567796438e-12,"ENSG00000105409","ATP1A3",325,4725
9.3676817079963e-12,"ENSG00000197893","NRAP",326,-282
9.38532436989705e-12,"ENSG00000174021","GNG5",327,15095
9.48821119671515e-12,"ENSG00000243725","TTC4",328,7336
9.62889845254436e-12,"ENSG00000170092","SPDYE5",329,373
1.13016381135156e-11,"ENSG00000112303","VNN2",330,-124
1.17901707048666e-11,"ENSG00000230733","AC092171.2",331,NA
1.20896806060727e-11,"ENSG00000160570","DEDD2",332,-114
1.34596869609414e-11,"ENSG00000175322","ZNF519",333,158
1.35466077204175e-11,"ENSG00000152104","PTPN14",334,-6
1.39982704799476e-11,"ENSG00000164512","ANKRD55",335,-84
