"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000284685",3,0,2,57,104,58,0.0012494770766094,"AC009093.10",4289,NA
"ENSG00000287049",0,0,0,41,22,33,0.00127488702569373,"AC124862.1",4324,NA
"ENSG00000287959",1,0,0,65,43,35,0.00129081618440246,"AC021236.1",4335,NA
"ENSG00000286480",3,0,0,76,61,83,0.00132731785347192,"AC009501.2",4365,NA
"ENSG00000285801",0,0,2,29,61,157,0.00132841510824606,"AL133268.4",4367,NA
"ENSG00000167914",4,92,6,2,9,4,0.00135283763169466,"GSDMA",4394,NA
"ENSG00000285850",7,0,0,225,157,205,0.00137821668827084,"AC009152.3",4409,NA
"ENSG00000285812",1,0,0,35,58,46,0.00138078682314603,"AL390719.3",4414,NA
"ENSG00000201207",11,8,14,1,6,4,0.00148141371847385,"Y_RNA",4475,NA
"ENSG00000286288",40,54,388,69,78,31,0.00148581569091572,"AL109809.4",4478,NA
"ENSG00000258960",7,3,12,1,1,0,0.00150386553524873,"FTH1P13",4486,NA
"ENSG00000285897",8,5,10,192,102,106,0.0015187118009067,"AC004687.2",4498,NA
"ENSG00000196990",3,1,35,0,1,0,0.00153944657925826,"FAM163B",4515,NA
"ENSG00000284638",0,0,0,96,7,47,0.00155102211300991,"AC005551.1",4524,NA
"ENSG00000287829",0,0,0,35,16,52,0.00156331991512715,"AC002542.6",4532,NA
"ENSG00000285679",1,1,0,65,34,81,0.00162434783031182,"AC079142.1",4575,NA
"ENSG00000284882",18,102,669,67,80,46,0.00165101310906793,"AL359762.1",4598,NA
"ENSG00000286366",6,0,4,163,54,213,0.00169722145115078,"AC005052.2",4622,NA
"ENSG00000185842",18,7,10,181,142,1239,0.00170414302879352,"DNAH14",4631,NA
"ENSG00000288603",0,0,0,35,23,29,0.00175907012042674,"SNORA74C-2",4663,NA
"ENSG00000285758",0,1,0,56,29,48,0.00181881168271973,"AC036214.4",4696,NA
"ENSG00000270106",0,0,0,26,27,31,0.0019324770259498,"TSNAX-DISC1",4754,NA
"ENSG00000285996",0,0,0,36,25,24,0.00197793252794011,"AC006116.9",4780,NA
"ENSG00000287665",7,0,22,231,272,257,0.00203921472004544,"AC092428.1",4812,NA
"ENSG00000211766",18,13,4,5,0,1,0.00204313503621552,"TRBJ2-2P",4813,NA
"ENSG00000091482",1,6,9,0,0,0,0.00213303432178517,"SMPX",4851,NA
"ENSG00000284606",3,2,2,86,102,38,0.00213955558843158,"AC105233.4",4855,NA
"ENSG00000287378",0,0,1,32,32,72,0.00214414766081374,"AC129803.1",4859,NA
"ENSG00000286990",3,1,0,113,50,59,0.00215583085285579,"AC016026.2",4871,NA
"ENSG00000284948",16,7,14,8,3,6,0.0021831685027564,"AC107959.4",4881,NA
"ENSG00000287113",0,0,1,107,23,32,0.00220436409997562,"AL139289.2",4894,NA
"ENSG00000284906",0,0,0,16,31,45,0.0022153836335136,"AC091057.5",4903,NA
"ENSG00000243797",2,5,26,2,0,0,0.00229671685958205,"AC004917.1",4951,NA
"ENSG00000286974",25,4,20,576,228,303,0.00234134586273475,"AL662884.5",4970,NA
"ENSG00000288025",2,14,9,193,357,124,0.00238159010126662,"AC093849.4",4990,NA
"ENSG00000287405",9,8,25,165,337,142,0.00244514439527198,"AC017028.2",5017,NA
"ENSG00000162685",3,5,4,0,0,0,0.00245581742132296,"LSP1P3",5022,NA
"ENSG00000285967",67,70,191,1010,897,1179,0.00251953737326077,"NIPBL-DT",5056,NA
"ENSG00000287494",7,1,2,85,121,100,0.00255678380600795,"AC069368.2",5070,NA
"ENSG00000165548",243,25,40,16,3,51,0.00258323715636036,"TMEM63C",5084,NA
"ENSG00000287447",2,0,0,63,52,44,0.00261103265376063,"AC099501.1",5095,NA
"ENSG00000287978",78,57,290,135,52,27,0.00263312509517738,"AC245407.2",5113,NA
"ENSG00000286311",1,1,0,94,13,129,0.00264503425567406,"AL034550.3",5122,NA
"ENSG00000286559",0,0,0,49,9,46,0.00269415970668368,"AC099845.1",5150,NA
"ENSG00000232254",5,6,9,0,0,2,0.00270846218527046,"CSF2RBP1",5155,NA
"ENSG00000248643",14,2,18,168,183,373,0.00272898776272089,"RBM14-RBM4",5162,NA
"ENSG00000286524",0,0,0,24,17,47,0.00272980816618765,"AC092567.2",5165,NA
"ENSG00000288046",7,1,0,17,554,391,0.00276241983338983,"AL031123.5",5171,NA
"ENSG00000285921",0,0,0,41,43,11,0.00276889210568095,"AP000779.1",5172,NA
"ENSG00000287180",2,1,3,82,38,58,0.00284712280353023,"AC106818.2",5195,NA
"ENSG00000285676",8,0,2,125,162,112,0.00290269771968856,"AL158212.5",5217,NA
"ENSG00000287799",2,1,0,41,66,54,0.00301789362593499,"AC005014.4",5277,NA
"ENSG00000287386",0,0,0,18,30,31,0.0030188235225298,"AC009248.3",5280,NA
"ENSG00000286193",0,0,0,32,25,20,0.00307307526028569,"AC025449.2",5305,NA
"ENSG00000287642",20,8,4,3,5,2,0.00309852935017685,"AC093599.2",5317,NA
"ENSG00000287431",1,3,6,62,50,185,0.00311575640714897,"AC027601.5",5319,NA
"ENSG00000213204",4,0,0,69,81,88,0.00312780639796647,"AL049697.1",5323,NA
"ENSG00000284783",0,0,0,23,19,38,0.00313067483524985,"AC091057.4",5324,NA
"ENSG00000285813",6,4,5,87,98,77,0.00313209031986724,"AP000813.1",5325,NA
"ENSG00000285669",1,4,25,252,209,165,0.00316455800924162,"AC026979.4",5336,NA
"ENSG00000287121",1,1,0,40,47,52,0.00318277193115108,"AC007220.2",5345,NA
"ENSG00000188730",6,1,7,0,0,0,0.0032069096968543,"VWC2",5351,NA
"ENSG00000250978",1,9,4,0,0,0,0.0032155451903464,"AC079467.1",5361,NA
"ENSG00000284976",341,275,488,593,414,255,0.00332704802876194,"BX255925.3",5407,NA
"ENSG00000285331",7,2,6,152,53,143,0.00342629206640477,"AC090517.5",5438,NA
"ENSG00000267461",3,2,45,3,0,0,0.00347630080739417,"AC079210.1",5450,NA
"ENSG00000285081",1,0,3,28,111,51,0.00355096645064261,"AC004593.1",5485,NA
"ENSG00000286608",0,1,0,39,30,37,0.00368454494368703,"AC010201.3",5536,NA
"ENSG00000274322",2,0,0,76,34,49,0.00373113451083497,"AL136531.2",5558,NA
"ENSG00000288612",37,52,387,104,54,49,0.00373276502942613,"AL133351.4",5562,NA
"ENSG00000163235",131,173,1592,306,26,13,0.00377302639190796,"TGFA",5575,NA
"ENSG00000285603",0,0,0,27,13,43,0.00378286107211664,"AL035693.1",5578,NA
