"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000184702",1121,324,449,19,6,5,1.01876849070118e-14,"SEPTIN5",181,25033
"ENSG00000214688",144,180,352,32,19,15,1.03147799598453e-14,"C10orf105",182,-66
"ENSG00000267855",204,311,738,38,40,19,1.10355632546189e-14,"NDUFA7",183,20272
"ENSG00000187608",471,400,1053,116,115,79,1.27229772393279e-14,"ISG15",184,-106
"ENSG00000156802",162,186,270,4161,3968,3448,1.3000523626469e-14,"ATAD2",185,-120
"ENSG00000239474",119,111,309,3,2,9,1.43472951641566e-14,"KLHL41",186,-55
"ENSG00000119121",168,305,210,8,10,14,1.47557301436566e-14,"TRPM6",187,-111
"ENSG00000163507",28,34,48,1032,1051,772,1.47557301436566e-14,"CIP2A",188,-75
"ENSG00000140932",368,934,5416,21,6,29,1.48386835859213e-14,"CMTM2",189,-116
"ENSG00000213809",3038,3400,534,22,5,1,1.55819100654819e-14,"KLRK1",190,1963
"ENSG00000281344",2,3,12,424,808,946,1.56793892197789e-14,"HELLPAR",191,-52
"ENSG00000143774",21540,14629,15140,2048,1369,1146,1.62057620093757e-14,"GUK1",192,-115
"ENSG00000008438",3615,1387,3178,110,15,28,1.92595792792475e-14,"PGLYRP1",193,-126
"ENSG00000213931",415,2762,255,0,0,0,2.23634738938734e-14,"HBE1",194,NA
"ENSG00000007062",10,3,1,9905,939,9136,2.3080468188089e-14,"PROM1",195,-123
"ENSG00000117862",808,1586,5767,157,127,129,2.31960634714447e-14,"TXNDC12",196,23996
"ENSG00000115590",2036,33798,435035,144,114,5,2.48824411791136e-14,"IL1R2",197,-122
"ENSG00000243772",271,271,125,6,7,5,2.94627479757192e-14,"KIR2DL3",198,-49
"ENSG00000261824",13,24,47,1068,1000,1670,2.99800995691616e-14,"LINC00662",199,653
"ENSG00000235652",3,4,7,326,319,443,3.24440782394009e-14,"FBXO30-DT",200,516
"ENSG00000197114",985,987,2411,236,126,93,3.31782322618721e-14,"ZGPAT",201,5992
"ENSG00000279117",236,296,176,0,0,0,3.36957048700426e-14,"AP001972.5",202,NA
"ENSG00000100031",304,406,2798,8,22,22,3.48694186785862e-14,"GGT1",203,9048
"ENSG00000101084",1791,2703,16230,185,127,228,3.48694186785862e-14,"RAB5IF",204,23997
"ENSG00000249593",1,2,6,336,353,334,3.53000875919002e-14,"AC011405.1",205,134
"ENSG00000223960",63,43,147,2350,2190,3191,3.66963052931037e-14,"CHROMR",206,-43
"ENSG00000060749",110,130,146,3100,3572,3523,3.92844080454512e-14,"QSER1",207,-105
